Tar,Item,Condition,Sentence,Target,Completion,Part,Cloze,Cloze_Balanced,Association_Noun,Association_Verb,Association_MainVerb
Axt,1,A,"Gestern schärfte der Holzfäller, bevor er das Holz stapelte,",die Axt,und hackte die Holzscheite.,0,0.75,1,6.9,3.1,6
Axt,1,B,"Gestern schärfte der Holzfäller, bevor er den Film schaute,",die Axt,und hackte die Holzscheite.,0,0.67,1,3.1,1.2,6
Axt,1,C,"Gestern aß der Holzfäller, bevor er das Holz stapelte,",die Axt,und hackte die Holzscheite.,0,0,1,6.9,3.1,1.4
Axt,1,D,"Gestern aß der Holzfäller, bevor er den Film schaute,",die Axt,und hackte die Holzscheite.,0,0,1,3.1,1.2,1.4
Messer,2,A,"Nachdenklich schärft der Barbier, nachdem er den Rasierschaum aufgetragen hat,",das Messer,und rasiert den Kunden.,0,0.67,1,5,5.1,6.4
Messer,2,B,"Nachdenklich schärft der Barbier, nachdem er die Topfpflanze gegossen hat,",das Messer,und rasiert den Kunden.,0,0.75,1,1.2,1.4,6.4
Messer,2,C,"Nachdenklich trinkt der Barbier, nachdem er den Rasierschaum aufgetragen hat,",das Messer,und rasiert den Kunden.,0,0,1,5,5.1,1.4
Messer,2,D,"Nachdenklich trinkt der Barbier, nachdem er die Topfpflanze gegossen hat,",das Messer,und rasiert den Kunden.,0,0,1,1.2,1.4,1.4
Kaffee,3,A,"Sogleich süßt der Kellner, nachdem er die Bestellung aufgenommen hat,",den Kaffee,und gießt die Milch dazu.,0,0.58,0,5.8,2.3,5.8
Kaffee,3,B,"Sogleich süßt der Kellner, nachdem er das Radio angemacht hat,",den Kaffee,und gießt die Milch dazu.,0,0.25,0,3.5,3.5,5.8
Kaffee,3,C,"Sogleich putzt der Kellner, nachdem er die Bestellung aufgenommen hat,",den Kaffee,und gießt die Milch dazu.,0,0,0,5.8,2.3,3
Kaffee,3,D,"Sogleich putzt der Kellner, nachdem er das Radio angemacht hat,",den Kaffee,und gießt die Milch dazu.,0,0,0,3.5,3.5,3
Ofen,4,A,"Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Brötchen geformt hat,",den Ofen,auf 180 Grad.,0,1,0,6,2.7,6.6
Ofen,4,B,"Vorsichtig erhitzt der Bäckerlehrling, nachdem er die Fenster gekippt hat,",den Ofen,auf 180 Grad.,0,0.75,0,2.4,1.3,6.6
Ofen,4,C,"Vorsichtig schlürft der Bäckerlehrling, nachdem er die Brötchen geformt hat,",den Ofen,auf 180 Grad.,0,0,0,6,2.7,1.3
Ofen,4,D,"Vorsichtig schlürft der Bäckerlehrling, nachdem er die Fenster gekippt hat,",den Ofen,auf 180 Grad.,0,0.08,0,2.4,1.3,1.3
Weinflasche,5,A,"Zufrieden entkorkt der Winzer, der die Reben geschnitten hat,",die Weinflasche,für die Weinprobe.,0,1,1,5.9,1.7,6.8
Weinflasche,5,B,"Zufrieden entkorkt der Winzer, der die Lohnabrechnungen beendet hat,",die Weinflasche,für die Weinprobe.,0,1,1,2,2.7,6.8
Weinflasche,5,C,"Zufrieden glättet der Winzer, der die Reben geschnitten hat,",die Weinflasche,für die Weinprobe.,0,0.08,1,5.9,1.7,1
Weinflasche,5,D,"Zufrieden glättet der Winzer, der die Lohnabrechnungen beendet hat,",die Weinflasche,für die Weinprobe.,0,0,1,2,2.7,1
Ticket,6,A,"Umgehend löst der Fahrgast, der den Automaten bedient,",das Ticket,für die Fahrt.,0,0.33,1,6.7,2.3,6.3
Ticket,6,B,"Umgehend löst der Fahrgast, der die Einkaufstasche abstellt,",das Ticket,für die Fahrt.,0,0.33,1,1.3,1.3,6.3
Ticket,6,C,"Umgehend knotet der Fahrgast, der den Automaten bedient,",das Ticket,für die Fahrt.,0,0,1,6.7,2.3,1.2
Ticket,6,D,"Umgehend knotet der Fahrgast, der die Einkaufstasche abstellt,",das Ticket,für die Fahrt.,0,0,1,1.3,1.3,1.2
Sieg,7,A,"Am Abend feiert der Gewinner, der den Pokal erhält,",den Sieg,mit einer Party.,0,0.5,0,6.8,4.4,6.2
Sieg,7,B,"Am Abend feiert der Gewinner, der das Eis isst,",den Sieg,mit einer Party.,0,0.75,0,1.8,2,6.2
Sieg,7,C,"Am Abend knabbert der Gewinner, der den Pokal erhält,",den Sieg,mit einer Party.,0,0,0,6.8,4.4,1.8
Sieg,7,D,"Am Abend knabbert der Gewinner, der das Eis isst,",den Sieg,mit einer Party.,0,0,0,1.8,2,1.8
Fisch,8,A,"Endlich fängt der Angler, der den Köder auswarf,",den Fisch,für das Abendessen.,1,0.83,1,7,4.9,6.9
Fisch,8,B,"Endlich fängt der Angler, der die Zeitung las,",den Fisch,für das Abendessen.,1,0.83,1,2,1.2,6.9
Fisch,8,C,"Endlich baut der Angler, der den Köder auswarf,",den Fisch,für das Abendessen.,1,0,1,7,4.9,1.3
Fisch,8,D,"Endlich baut der Angler, der die Zeitung las,",den Fisch,für das Abendessen.,1,0,1,2,1.2,1.3
Unkraut,9,A,"Am Nachmittag jätete der Schrebergärtner, der das Beet pflegte,",das Unkraut,und leerte den Kompost.,0,0.83,0,6.7,3.3,6.9
Unkraut,9,B,"Am Nachmittag jätete der Schrebergärtner, der die Sonne genoss,",das Unkraut,und leerte den Kompost.,0,0.67,0,3.3,1.4,6.9
Unkraut,9,C,"Am Nachmittag polierte der Schrebergärtner, der das Beet pflegte,",das Unkraut,und leerte den Kompost.,0,0,0,6.7,3.3,1.2
Unkraut,9,D,"Am Nachmittag polierte der Schrebergärtner, der die Sonne genoss,",das Unkraut,und leerte den Kompost.,0,0,0,3.3,1.4,1.2
Klassenzimmer,10,A,"Eine Weile lüftet der Lehrer, bevor er die Tafel beschreibt,",das Klassenzimmer,und nimmt ein Stück Kreide.,1,0.75,1,6.8,3.7,5.5
Klassenzimmer,10,B,"Eine Weile lüftet der Lehrer, bevor er den Mantel aufhängt,",das Klassenzimmer,und nimmt ein Stück Kreide.,1,0.75,1,1.9,2.6,5.5
Klassenzimmer,10,C,"Eine Weile bastelt der Lehrer, bevor er die Tafel beschreibt,",das Klassenzimmer,und nimmt ein Stück Kreide.,1,0,1,6.8,3.7,4.7
Klassenzimmer,10,D,"Eine Weile bastelt der Lehrer, bevor er den Mantel aufhängt,",das Klassenzimmer,und nimmt ein Stück Kreide.,1,0,1,1.9,2.6,4.7
Käse,11,A,"Schnell reibt der Chefkoch, während er die Nudeln kocht,",den Käse,und gibt Öl in die Pfanne.,0,0.5,1,5.2,4.6,6.4
Käse,11,B,"Schnell reibt der Chefkoch, während er die Nachrichten hört,",den Käse,und gibt Öl in die Pfanne.,0,0.58,1,1.7,1.2,6.4
Käse,11,C,"Schnell flickt der Chefkoch, während er die Nudeln kocht,",den Käse,und gibt Öl in die Pfanne.,0,0,1,5.2,4.6,1.1
Käse,11,D,"Schnell flickt der Chefkoch, während er die Nachrichten hört,",den Käse,und gibt Öl in die Pfanne.,0,0,1,1.7,1.2,1.1
Bier,12,A,"Vorgestern probierte der Braumeister, nachdem er den Kessel ausgeschaltet hatte,",das Bier,das zuvor gebraut wurde.,0,0.67,1,3.9,1.2,5
Bier,12,B,"Vorgestern probierte der Braumeister, nachdem er den Boden gewischt hatte,",das Bier,das zuvor gebraut wurde.,0,0.58,1,1.8,2.3,5
Bier,12,C,"Vorgestern bemalte der Braumeister, nachdem er den Kessel ausgeschaltet hatte,",das Bier,das zuvor gebraut wurde.,0,0,1,3.9,1.2,1.1
Bier,12,D,"Vorgestern bemalte der Braumeister, nachdem er den Boden gewischt hatte,",das Bier,das zuvor gebraut wurde.,0,0,1,1.8,2.3,1.1
Rasen,13,A,"Eine Zeit lang mähte der Gartenhelfer, nachdem er den Garten umgegraben hatte,",den Rasen,hinter der Villa.,0,0.92,1,7,5.6,6.8
Rasen,13,B,"Eine Zeit lang mähte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte,",den Rasen,hinter der Villa.,0,0.92,1,2.2,1.9,6.8
Rasen,13,C,"Eine Zeit lang räucherte der Gartenhelfer, nachdem er den Garten umgegraben hatte,",den Rasen,hinter der Villa.,0,0,1,7,5.6,1.4
Rasen,13,D,"Eine Zeit lang räucherte der Gartenhelfer, nachdem er die Garage aufgeräumt hatte,",den Rasen,hinter der Villa.,0,0,1,2.2,1.9,1.4
Straße,14,A,"Achtsam pflasterte der Bauarbeiter, der die Absperrungen umging,",die Straße,und den Bürgersteig.,1,0.42,1,6.5,5.1,6.8
Straße,14,B,"Achtsam pflasterte der Bauarbeiter, der die Steine schleppte,",die Straße,und den Bürgersteig.,1,0.42,1,5.7,2,6.8
Straße,14,C,"Achtsam salzte der Bauarbeiter, der die Absperrungen umging,",die Straße,und den Bürgersteig.,1,0.08,1,6.5,5.1,2
Straße,14,D,"Achtsam salzte der Bauarbeiter, der die Steine schleppte,",die Straße,und den Bürgersteig.,1,0,1,5.7,2,2
Glocken,15,A,"Gestern läutete der Priester, nachdem er den Kirchturm erklommen hatte,",die Glocken,und freute sich.,0,1,1,6.7,1.1,7
Glocken,15,B,"Gestern läutete der Priester, nachdem er die Armbanduhr ausgezogen hatte,",die Glocken,und freute sich.,0,0.92,1,2.2,1.1,7
Glocken,15,C,"Gestern faltete der Priester, nachdem er den Kirchturm erklommen hatte,",die Glocken,und freute sich.,0,0,1,6.7,1.1,1
Glocken,15,D,"Gestern faltete der Priester, nachdem er die Armbanduhr ausgezogen hatte,",die Glocken,und freute sich.,0,0,1,2.2,1.1,1
Wunde,16,A,"Rasch näht der Notarzt, der den Verletzten betreut,",die Wunde,mit fünf Stichen.,0,0.92,1,6.7,3.3,5.8
Wunde,16,B,"Rasch näht der Notarzt, der den Ohrring trägt,",die Wunde,mit fünf Stichen.,0,0.92,1,3.2,1.8,5.8
Wunde,16,C,"Rasch versteckt der Notarzt, der den Verletzten betreut,",die Wunde,mit fünf Stichen.,0,0,1,6.7,3.3,2
